table_name,column_name,data_type,is_nullable,column_default
admin_change_requests,id,integer,NO,nextval('admin_change_requests_id_seq'::regclass)
admin_change_requests,customer_id,integer,NO,
admin_change_requests,requested_by_user_id,integer,NO,
admin_change_requests,approved_by_user_id,integer,YES,
admin_change_requests,change_type,character varying,NO,
admin_change_requests,change_payload,jsonb,NO,
admin_change_requests,status,character varying,YES,
admin_change_requests,rejection_reason,text,YES,
admin_change_requests,applied_at,timestamp without time zone,YES,
admin_change_requests,created_at,timestamp with time zone,YES,now()
admin_change_requests,updated_at,timestamp with time zone,YES,
admin_change_requests,is_deleted,boolean,YES,
admin_change_requests,deleted_at,timestamp with time zone,YES,
ai_fx_rate_cache,id,integer,NO,nextval('ai_fx_rate_cache_id_seq'::regclass)
ai_fx_rate_cache,from_currency_code,character varying,NO,
ai_fx_rate_cache,to_currency_code,character varying,NO,
ai_fx_rate_cache,rate,numeric,NO,
ai_fx_rate_cache,cached_at,timestamp with time zone,NO,now()
ai_usage_logs,customer_id,integer,NO,
ai_usage_logs,user_id,integer,NO,
ai_usage_logs,doc_name,character varying,YES,
ai_usage_logs,model_name,character varying,NO,
ai_usage_logs,prompt_tokens,integer,NO,
ai_usage_logs,completion_tokens,integer,NO,
ai_usage_logs,total_tokens,integer,NO,
ai_usage_logs,ocr_characters,integer,NO,
ai_usage_logs,total_pages,integer,NO,
ai_usage_logs,id,integer,NO,nextval('ai_usage_logs_id_seq'::regclass)
ai_usage_logs,created_at,timestamp with time zone,YES,now()
ai_usage_logs,updated_at,timestamp with time zone,YES,
ai_usage_logs,is_deleted,boolean,YES,
ai_usage_logs,deleted_at,timestamp with time zone,YES,
approval_groups,name,character varying,NO,
approval_groups,customer_id,integer,NO,
approval_groups,id,integer,NO,nextval('approval_groups_id_seq'::regclass)
approval_groups,created_at,timestamp with time zone,YES,now()
approval_groups,updated_at,timestamp with time zone,YES,
approval_groups,is_deleted,boolean,YES,
approval_groups,deleted_at,timestamp with time zone,YES,
approval_matrices,customer_id,integer,NO,
approval_matrices,entity_id,integer,YES,
approval_matrices,module,character varying,NO,
approval_matrices,action_type,character varying,YES,
approval_matrices,name,character varying,NO,
approval_matrices,priority,integer,YES,
approval_matrices,is_active,boolean,YES,
approval_matrices,conditions_json,json,YES,
approval_matrices,id,integer,NO,nextval('approval_matrices_id_seq'::regclass)
approval_matrices,created_at,timestamp with time zone,YES,now()
approval_matrices,updated_at,timestamp with time zone,YES,
approval_matrices,is_deleted,boolean,YES,
approval_matrices,deleted_at,timestamp with time zone,YES,
approval_matrix_levels,matrix_id,integer,NO,
approval_matrix_levels,level_order,integer,NO,
approval_matrix_levels,approver_id,integer,NO,
approval_matrix_levels,id,integer,NO,nextval('approval_matrix_levels_id_seq'::regclass)
approval_matrix_levels,created_at,timestamp with time zone,YES,now()
approval_matrix_levels,updated_at,timestamp with time zone,YES,
approval_matrix_levels,is_deleted,boolean,YES,
approval_matrix_levels,deleted_at,timestamp with time zone,YES,
approval_request_steps,approval_request_id,integer,NO,
approval_request_steps,approver_id,integer,NO,
approval_request_steps,step_order,integer,NO,
approval_request_steps,status,character varying,NO,
approval_request_steps,comment,character varying,YES,
approval_request_steps,action_date,timestamp with time zone,YES,
approval_request_steps,id,integer,NO,nextval('approval_request_steps_id_seq'::regclass)
approval_request_steps,created_at,timestamp with time zone,YES,now()
approval_request_steps,updated_at,timestamp with time zone,YES,
approval_request_steps,is_deleted,boolean,YES,
approval_request_steps,deleted_at,timestamp with time zone,YES,
approval_requests,id,integer,NO,nextval('approval_requests_id_seq'::regclass)
approval_requests,entity_type,character varying,NO,
approval_requests,entity_id,integer,YES,
approval_requests,action_type,character varying,NO,
approval_requests,status,USER-DEFINED,NO,
approval_requests,maker_user_id,integer,NO,
approval_requests,checker_user_id,integer,YES,
approval_requests,request_details,json,YES,
approval_requests,lg_record_snapshot,json,YES,
approval_requests,created_at,timestamp with time zone,YES,now()
approval_requests,updated_at,timestamp with time zone,YES,
approval_requests,customer_id,integer,NO,
approval_requests,reason,text,YES,
approval_requests,withdrawn_at,timestamp with time zone,YES,
approval_requests,internal_owner_contact_id,integer,YES,
approval_requests,related_instruction_id,integer,YES,
approval_requests,last_renewal_reminder_sent_at,timestamp with time zone,YES,
audit_logs,id,integer,NO,nextval('audit_logs_id_seq'::regclass)
audit_logs,user_id,integer,YES,
audit_logs,action_type,character varying,NO,
audit_logs,entity_type,character varying,NO,
audit_logs,entity_id,integer,YES,
audit_logs,details,json,YES,
audit_logs,timestamp,timestamp with time zone,YES,now()
audit_logs,ip_address,character varying,YES,
audit_logs,customer_id,integer,YES,
audit_logs,lg_record_id,integer,YES,
bank_column_mappings,id,integer,NO,nextval('bank_column_mappings_id_seq'::regclass)
bank_column_mappings,bank_id,integer,NO,
bank_column_mappings,customer_id,integer,NO,
bank_column_mappings,source_column,character varying,NO,
bank_column_mappings,mapped_field,character varying,NO,
bank_column_mappings,mapping_source,character varying,YES,'AUTO'::character varying
bank_column_mappings,confidence,numeric,YES,
bank_column_mappings,created_at,timestamp with time zone,YES,now()
bank_column_mappings,updated_at,timestamp with time zone,YES,
bank_form_issue_reports,id,integer,NO,nextval('bank_form_issue_reports_id_seq'::regclass)
bank_form_issue_reports,customer_id,integer,NO,
bank_form_issue_reports,reported_by_user_id,integer,NO,
bank_form_issue_reports,bank_id,integer,NO,
bank_form_issue_reports,form_config_id,integer,YES,
bank_form_issue_reports,issue_type,character varying,NO,
bank_form_issue_reports,description,text,NO,
bank_form_issue_reports,field_name,character varying,YES,
bank_form_issue_reports,severity,character varying,YES,
bank_form_issue_reports,status,character varying,YES,
bank_form_issue_reports,resolution_notes,text,YES,
bank_form_issue_reports,created_at,timestamp with time zone,YES,now()
bank_form_issue_reports,resolved_at,timestamp without time zone,YES,
bank_form_issue_reports,updated_at,timestamp with time zone,YES,
bank_form_issue_reports,is_deleted,boolean,YES,
bank_form_issue_reports,deleted_at,timestamp with time zone,YES,
bank_form_templates,id,integer,NO,nextval('bank_form_templates_id_seq'::regclass)
bank_form_templates,bank_id,integer,NO,
bank_form_templates,name,character varying,NO,
bank_form_templates,version,integer,NO,
bank_form_templates,form_type,character varying,NO,
bank_form_templates,file_path,character varying,YES,
bank_form_templates,original_filename,character varying,YES,
bank_form_templates,field_mapping,jsonb,YES,
bank_form_templates,ai_analysis,jsonb,YES,
bank_form_templates,ai_analysis_status,character varying,YES,
bank_form_templates,is_active,boolean,YES,
bank_form_templates,is_deleted,boolean,YES,
bank_form_templates,uploaded_by,integer,YES,
bank_form_templates,created_at,timestamp with time zone,YES,now()
bank_form_templates,updated_at,timestamp with time zone,YES,
bank_form_templates,lg_type_id,integer,YES,
bank_form_templates,lg_type_ids,jsonb,YES,
bank_form_templates,priority,integer,NO,0
bank_form_templates,form_language,character varying,NO,'BILINGUAL'::character varying
bank_issuance_options,id,integer,NO,nextval('bank_issuance_options_id_seq'::regclass)
bank_issuance_options,bank_id,integer,NO,
bank_issuance_options,strategy_code,character varying,NO,
bank_issuance_options,display_name,character varying,NO,
bank_issuance_options,configuration,jsonb,NO,
bank_issuance_options,is_active,boolean,YES,
bank_position_batches,bank_id,integer,NO,
bank_position_batches,as_of_date,date,NO,
bank_position_batches,uploaded_by_user_id,integer,YES,
bank_position_batches,total_records,integer,YES,
bank_position_batches,matched_records,integer,YES,
bank_position_batches,created_at,timestamp with time zone,YES,now()
bank_position_batches,id,integer,NO,nextval('bank_position_batches_id_seq'::regclass)
bank_position_batches,updated_at,timestamp with time zone,YES,
bank_position_batches,is_deleted,boolean,YES,
bank_position_batches,deleted_at,timestamp with time zone,YES,
bank_position_rows,batch_id,integer,NO,
bank_position_rows,ref_number,character varying,NO,
bank_position_rows,amount,numeric,NO,
bank_position_rows,currency_code,character varying,YES,
bank_position_rows,status_in_bank,character varying,YES,
bank_position_rows,recon_status,character varying,YES,
bank_position_rows,recon_note,character varying,YES,
bank_position_rows,id,integer,NO,nextval('bank_position_rows_id_seq'::regclass)
bank_position_rows,created_at,timestamp with time zone,YES,now()
bank_position_rows,updated_at,timestamp with time zone,YES,
bank_position_rows,is_deleted,boolean,YES,
bank_position_rows,deleted_at,timestamp with time zone,YES,
bank_statements,company_id,integer,NO,
bank_statements,bank_id,integer,NO,
bank_statements,account_id,integer,YES,
bank_statements,account_number,character varying,YES,
bank_statements,currency_id,integer,YES,
bank_statements,file_name,character varying,NO,
bank_statements,raw_file_path,character varying,YES,
bank_statements,json_snapshot,json,YES,
bank_statements,opening_balance,numeric,NO,
bank_statements,closing_balance,numeric,NO,
bank_statements,statement_start_date,timestamp with time zone,NO,
bank_statements,statement_end_date,timestamp with time zone,NO,
bank_statements,status,character varying,YES,
bank_statements,created_by,integer,YES,
bank_statements,id,integer,NO,nextval('bank_statements_id_seq'::regclass)
bank_statements,created_at,timestamp with time zone,YES,now()
bank_statements,updated_at,timestamp with time zone,YES,
bank_statements,is_deleted,boolean,YES,
bank_statements,deleted_at,timestamp with time zone,YES,
bank_transactions,statement_id,integer,NO,
bank_transactions,external_txn_id,character varying,YES,
bank_transactions,bank_txn_code,character varying,YES,
bank_transactions,internal_category,character varying,YES,
bank_transactions,company_name,character varying,YES,
bank_transactions,account_number,character varying,YES,
bank_transactions,back_office_ref,character varying,YES,
bank_transactions,category,character varying,YES,
bank_transactions,sub_category,character varying,YES,
bank_transactions,net_amount,numeric,YES,
bank_transactions,is_positive,boolean,YES,
bank_transactions,classification_category,character varying,YES,
bank_transactions,source_system,character varying,YES,
bank_transactions,exchange_rate_egp,numeric,YES,
bank_transactions,exchange_rate_eur_usd,numeric,YES,
bank_transactions,beneficiary_name,character varying,YES,
bank_transactions,purpose_of_payment,character varying,YES,
bank_transactions,amount_in_currency,numeric,YES,
bank_transactions,amount_in_egp,numeric,YES,
bank_transactions,transfer_type,character varying,YES,
bank_transactions,booking_date,timestamp with time zone,NO,
bank_transactions,value_date,timestamp with time zone,NO,
bank_transactions,transaction_date,timestamp with time zone,YES,
bank_transactions,system_posting_date,timestamp with time zone,YES,
bank_transactions,debit_amount,numeric,YES,
bank_transactions,credit_amount,numeric,YES,
bank_transactions,currency,character varying,NO,
bank_transactions,running_balance,numeric,NO,
bank_transactions,txn_amount_foreign,numeric,YES,
bank_transactions,txn_currency_foreign,character varying,YES,
bank_transactions,ex_rate,numeric,YES,
bank_transactions,ex_rate_type,character varying,YES,
bank_transactions,raw_description,text,NO,
bank_transactions,cleaned_description,text,YES,
bank_transactions,description_line1,character varying,YES,
bank_transactions,description_line2,character varying,YES,
bank_transactions,counterparty_name,character varying,YES,
bank_transactions,counterparty_iban,character varying,YES,
bank_transactions,counterparty_bank,character varying,YES,
bank_transactions,cheque_number,character varying,YES,
bank_transactions,swift_ref,character varying,YES,
bank_transactions,e2e_id,character varying,YES,
bank_transactions,is_reconciled,boolean,YES,
bank_transactions,is_classified,boolean,YES,
bank_transactions,is_reversal,boolean,YES,
bank_transactions,is_duplicate,boolean,YES,
bank_transactions,manual_override,boolean,YES,
bank_transactions,is_locked,boolean,YES,
bank_transactions,is_exported,boolean,YES,
bank_transactions,applied_rule_id,integer,YES,
bank_transactions,id,integer,NO,nextval('bank_transactions_id_seq'::regclass)
bank_transactions,created_at,timestamp with time zone,YES,now()
bank_transactions,updated_at,timestamp with time zone,YES,
bank_transactions,is_deleted,boolean,YES,
bank_transactions,deleted_at,timestamp with time zone,YES,
bank_transactions,linked_txn_id,integer,YES,
banks,name,character varying,NO,
banks,address,character varying,YES,
banks,phone_number,character varying,YES,
banks,fax,character varying,YES,
banks,former_names,json,YES,
banks,swift_code,character varying,YES,
banks,short_name,character varying,YES,
banks,id,integer,NO,nextval('banks_id_seq'::regclass)
banks,created_at,timestamp with time zone,YES,now()
banks,updated_at,timestamp with time zone,YES,
banks,is_deleted,boolean,YES,
banks,deleted_at,timestamp with time zone,YES,
classification_rules,company_id,integer,NO,
classification_rules,rule_name,character varying,YES,
classification_rules,priority,integer,YES,
classification_rules,stop_after_match,boolean,YES,
classification_rules,conditions_json,json,NO,
classification_rules,assigned_gl_account,character varying,NO,
classification_rules,usage_count,integer,YES,
classification_rules,last_triggered_date,timestamp with time zone,YES,
classification_rules,is_active,boolean,YES,
classification_rules,created_by,integer,NO,
classification_rules,id,integer,NO,nextval('classification_rules_id_seq'::regclass)
classification_rules,created_at,timestamp with time zone,YES,now()
classification_rules,updated_at,timestamp with time zone,YES,
classification_rules,is_deleted,boolean,YES,
classification_rules,deleted_at,timestamp with time zone,YES,
corporate_projects,id,integer,NO,nextval('corporate_projects_id_seq'::regclass)
corporate_projects,customer_id,integer,NO,
corporate_projects,name,character varying,NO,
corporate_projects,project_type,character varying,NO,
corporate_projects,reference_number,character varying,YES,
corporate_projects,status,character varying,YES,
corporate_projects,created_at,timestamp with time zone,YES,now()
currencies,name,character varying,NO,
currencies,iso_code,character varying,NO,
currencies,symbol,character varying,YES,
currencies,id,integer,NO,nextval('currencies_id_seq'::regclass)
currencies,created_at,timestamp with time zone,YES,now()
currencies,updated_at,timestamp with time zone,YES,
currencies,is_deleted,boolean,YES,
currencies,deleted_at,timestamp with time zone,YES,
currency_exchange_rates,id,integer,NO,nextval('currency_exchange_rates_id_seq'::regclass)
currency_exchange_rates,currency_id,integer,NO,
currency_exchange_rates,buy_rate,double precision,NO,
currency_exchange_rates,sell_rate,double precision,NO,
currency_exchange_rates,rate_date,date,NO,
currency_exchange_rates,created_at,timestamp without time zone,YES,
customer_bank_accounts,id,integer,NO,nextval('customer_bank_accounts_id_seq'::regclass)
customer_bank_accounts,customer_id,integer,NO,
customer_bank_accounts,bank_id,integer,NO,
customer_bank_accounts,entity_id,integer,YES,
customer_bank_accounts,account_name,character varying,NO,
customer_bank_accounts,account_number,character varying,NO,
customer_bank_accounts,customer_number,character varying,YES,
customer_bank_accounts,branch_name,character varying,YES,
customer_bank_accounts,iban,character varying,YES,
customer_bank_accounts,is_default,boolean,YES,
customer_bank_accounts,is_active,boolean,YES,
customer_bank_accounts,is_deleted,boolean,YES,
customer_bank_accounts,created_at,timestamp with time zone,YES,now()
customer_bank_accounts,updated_at,timestamp with time zone,YES,
customer_configurations,customer_id,integer,NO,
customer_configurations,global_config_id,integer,NO,
customer_configurations,configured_value,character varying,NO,
customer_configurations,id,integer,NO,nextval('customer_configurations_id_seq'::regclass)
customer_configurations,created_at,timestamp with time zone,YES,now()
customer_configurations,updated_at,timestamp with time zone,YES,
customer_configurations,is_deleted,boolean,YES,
customer_configurations,deleted_at,timestamp with time zone,YES,
customer_email_settings,customer_id,integer,NO,
customer_email_settings,smtp_host,character varying,NO,
customer_email_settings,smtp_port,integer,NO,
customer_email_settings,smtp_username,character varying,NO,
customer_email_settings,smtp_password_encrypted,character varying,NO,
customer_email_settings,sender_email,character varying,NO,
customer_email_settings,sender_display_name,character varying,YES,
customer_email_settings,is_active,boolean,NO,
customer_email_settings,id,integer,NO,nextval('customer_email_settings_id_seq'::regclass)
customer_email_settings,created_at,timestamp with time zone,YES,now()
customer_email_settings,updated_at,timestamp with time zone,YES,
customer_email_settings,is_deleted,boolean,YES,
customer_email_settings,deleted_at,timestamp with time zone,YES,
customer_entities,entity_name,character varying,NO,
customer_entities,address,character varying,YES,
customer_entities,commercial_register_number,character varying,YES,
customer_entities,tax_id,character varying,YES,
customer_entities,code,character varying,NO,
customer_entities,contact_person,character varying,YES,
customer_entities,contact_email,character varying,YES,
customer_entities,is_active,boolean,NO,
customer_entities,customer_id,integer,NO,
customer_entities,id,integer,NO,nextval('customer_entities_id_seq'::regclass)
customer_entities,created_at,timestamp with time zone,YES,now()
customer_entities,updated_at,timestamp with time zone,YES,
customer_entities,is_deleted,boolean,YES,
customer_entities,deleted_at,timestamp with time zone,YES,
customer_form_configurations,id,integer,NO,nextval('customer_form_configurations_id_seq'::regclass)
customer_form_configurations,customer_id,integer,NO,
customer_form_configurations,field_configurations,jsonb,NO,
customer_form_configurations,custom_field_1_config,jsonb,YES,
customer_form_configurations,custom_field_2_config,jsonb,YES,
customer_form_configurations,mandatory_document_types,jsonb,NO,
customer_form_configurations,created_at,timestamp with time zone,YES,now()
customer_form_configurations,updated_at,timestamp with time zone,YES,
customer_form_configurations,is_deleted,boolean,YES,
customer_form_configurations,deleted_at,timestamp with time zone,YES,
customer_form_configurations,reference_types,jsonb,YES,
customer_form_configurations,document_config,jsonb,YES,
customer_form_configurations,recipient_field_configurations,jsonb,YES,'{}'::jsonb
customer_form_configurations,reservation_ttl_days,integer,YES,14
customer_form_configurations,scoring_weights,jsonb,YES,
customers,name,character varying,NO,
customers,address,character varying,YES,
customers,contact_email,character varying,NO,
customers,contact_phone,character varying,YES,
customers,subscription_plan_id,integer,NO,
customers,start_date,timestamp with time zone,YES,now()
customers,end_date,timestamp with time zone,NO,
customers,status,USER-DEFINED,NO,
customers,active_user_count,integer,NO,
customers,active_lg_count,integer,NO,
